Set_id;Time;Line 0;Line 1;Line 2;Line 3;Line 4;Line 5;Line 6;Line 7;Sum
0;0.000000;25886643.607835;0.000000;19053558.206817;6833085.401018;56289548.904770;0.000000;24372985.449382;31916563.455388;164352385.025210
0;0.010120;23430674.495701;0.000000;16993268.280334;6437406.215367;55302328.322790;0.000000;28977603.770613;26324724.552177;157466005.636982
0;0.020240;25906361.172244;0.000000;16931856.835103;8974504.337141;55980564.026975;0.000000;27698781.181528;28281782.845447;163773850.398439
0;0.030359;23318323.143699;0.000000;14341636.046138;8976687.097561;55817771.393392;0.000000;26638892.007945;29178879.385447;158272189.074182
0;0.040479;23443405.041486;0.000000;14327558.143250;9115846.898236;56064627.388402;0.000000;24416340.434432;31648286.953971;159016064.859777
0;0.050599;23585556.957914;0.000000;16453881.951643;7131675.006272;55646978.975638;0.000000;26653546.293073;28993432.682565;158465071.867106
0;0.060719;23420396.346958;0.000000;12910051.679737;10510344.667221;56216392.184675;0.000000;26452584.277501;29763807.907174;159273577.063266
0;0.070838;23210677.252687;0.000000;13584014.747030;9626662.505658;55458756.097348;0.000000;27521586.042270;27937170.055078;157338866.700071
0;0.080958;23412606.071888;0.000000;12602969.237213;10809636.834675;55860132.483207;0.000000;27222661.764478;28637470.718729;158545477.110191
0;0.091078;23058618.389691;0.000000;14291248.260924;8767370.128767;55810431.252008;0.000000;27588322.729784;28222108.522225;157738099.283399
0;0.101198;23368525.884835;0.000000;13287012.727833;10081513.157002;55646728.526505;0.000000;27528855.115062;28117873.411443;158030508.822680
0;0.111317;23192609.604838;0.000000;14183602.342606;9009007.262232;55840954.104746;0.000000;27510976.722272;28329977.382475;158067127.419169
0;0.121437;23153137.695679;0.000000;13673503.612346;9479634.083333;56164350.364143;0.000000;27092645.315388;29071705.048754;158634976.119643
0;0.131557;23400025.756450;0.000000;13571519.175484;9828506.580967;60774378.335146;0.000000;29392564.132109;31381814.203036;168348808.183192
0;0.141677;23341025.944609;0.000000;14583482.947829;8757542.996780;56004798.015578;0.000000;27229126.594244;28775671.421334;158691647.920375
0;0.151796;23338672.992855;0.000000;14165700.004167;9172972.988688;55453381.671304;0.000000;27109577.372248;28343804.299056;157584109.328317
0;0.161916;25529335.789964;0.000000;14660778.757052;10868557.032912;55978645.516149;0.000000;26892552.749622;29086092.766527;163015962.612226
0;0.172036;23233737.063518;0.000000;13492961.738492;9740775.325026;56313857.347805;0.000000;27923970.080351;28389887.267454;159095188.822647
0;0.182156;23411508.110839;0.000000;14672535.836168;8738972.274672;56406093.772881;0.000000;27557554.616152;28848539.156729;159635203.767440
0;0.192275;23289034.101247;0.000000;13762828.131109;9526205.970138;56129049.740824;0.000000;27370808.961013;28758240.779811;158836167.684142
0;0.202395;23499928.772237;0.000000;14351764.364992;9148164.407244;55769691.084707;0.000000;27735994.053693;28033697.031014;158539239.713887
0;0.212515;23361854.859279;0.000000;11004401.877126;12357452.982153;55369582.146553;0.000000;27545141.303262;27824440.843291;157462874.011663
0;0.222635;23308208.045904;0.000000;13513801.473423;9794406.572481;55778525.531128;0.000000;27325154.538921;28453370.992207;158173467.154062
0;0.232754;23237768.346753;0.000000;14330680.292797;8907088.053957;55630560.392668;0.000000;26646883.468310;28983676.924358;157736657.478843
0;0.242874;23274401.852929;0.000000;13734386.334068;9540015.518861;56312850.900308;0.000000;27468772.668136;28844078.232172;159174505.506473
0;0.252994;23345401.994913;0.000000;15199927.161850;8145474.833063;56435618.630294;0.000000;27703293.020517;28732325.609777;159562041.250414
0;0.263114;23414384.269334;0.000000;13976605.407125;9437778.862208;57719468.620452;0.000000;27829029.513432;29890439.107020;162267705.779572
0;0.273233;23614701.377660;0.000000;15823836.438395;7790864.939265;56559817.100910;0.000000;27457367.032963;29102450.067947;160349036.957140
0;0.283353;23336326.758121;0.000000;14207413.371319;9128913.386802;54810640.076797;0.000000;24612145.046914;30198495.029883;156293933.669836
0;0.293473;23441269.890487;0.000000;15336047.735231;8105222.155256;61561239.736208;0.000000;30188386.726691;31372853.009517;170005019.253391
0;0.303593;23443881.402452;0.000000;15199811.086293;8244070.316159;58823392.781793;0.000000;26992981.546073;31830411.235720;164534548.368490
0;0.313712;25569161.705189;0.000000;15708795.658358;9860366.046831;53646554.023540;0.000000;24663240.574636;28983313.448904;158431431.457456
0;0.323832;23380610.112910;0.000000;12840171.127582;10540438.985328;64775788.673471;0.000000;29908882.000597;34866906.672875;176312797.572763
0;0.333952;25576550.205596;0.000000;16385266.436846;9191283.768750;78424890.748516;0.000000;35778813.543813;42646077.204703;208002881.908224
0;0.344072;30397953.768064;0.000000;16736456.455614;13661497.312450;55940315.117848;0.000000;26335416.505928;29604898.611920;172676537.771824
0;0.354191;23253016.940500;0.000000;13346662.464252;9906354.476248;58497611.004654;0.000000;27225458.897872;31272152.106783;163501255.890309
0;0.364311;23510370.969803;0.000000;13561054.559394;9949316.410409;58388734.226717;0.000000;27283181.489068;31105552.737650;163798210.393040
0;0.374431;23210214.847757;0.000000;12905573.037013;10304641.810744;57660168.209034;0.000000;27266429.022058;30393739.186977;161740766.113582
0;0.384551;23475878.720342;0.000000;13520917.490830;9954961.229512;57736298.772655;0.000000;27444243.240315;30292055.532340;162424354.985993
0;0.394670;23463649.292174;0.000000;14591205.197536;8872444.094638;58525912.652197;0.000000;27305070.618064;31220842.034133;163979123.888742
0;0.404790;23371606.063884;0.000000;14903184.929919;8468421.133965;56726058.938975;0.000000;26962958.384201;29763100.554774;160195330.005718
0;0.414910;26005439.723913;0.000000;14801001.280618;11204438.443295;63370075.328182;0.000000;29756759.998298;33613315.329885;178751030.104190
0;0.425030;23433023.848957;0.000000;13000470.849395;10432552.999562;58313392.329699;0.000000;26941480.284753;31371912.044946;163492832.357312
0;0.435149;23252460.309329;0.000000;13435579.620075;9816880.689254;58573436.198201;0.000000;26902088.290841;31671347.907360;163651793.015061
0;0.445269;23233372.864267;0.000000;13523442.358876;9709930.505391;57054340.226138;0.000000;26923270.070963;30131070.155175;160575426.180810
0;0.455389;23363288.498899;0.000000;14321231.678530;9042056.820369;58708385.351141;0.000000;27157115.214085;31551270.137056;164143347.700080
0;0.465509;23260342.136576;0.000000;12443015.870563;10817326.266014;57047488.062308;0.000000;27204030.226700;29843457.835608;160615660.397769
0;0.475628;23285657.178863;0.000000;13318479.099377;9967178.079487;58235824.192204;0.000000;24654672.937451;33581151.254754;163042962.742135
0;0.485748;23238974.598797;0.000000;13759105.503546;9479869.095252;58722007.128840;0.000000;26967846.786949;31754160.341891;163921963.455275
0;0.495868;23362016.449106;0.000000;14087648.110013;9274368.339092;58303091.037757;0.000000;26877749.683578;31425341.354179;163330214.973726
0;0.505988;23146149.317334;0.000000;13098208.528414;10047940.788920;56804276.097954;0.000000;27254420.674381;29549855.423574;159900850.830577
0;0.516107;23285083.863555;0.000000;13177550.118423;10107533.745132;58472670.722756;0.000000;26540786.711038;31931884.011718;163515509.172622
0;0.526227;24933837.082324;0.000000;16622558.054883;8311279.027441;58660945.581785;0.000000;27226390.628183;31434554.953601;167189565.328217
0;0.536347;23768490.634761;0.000000;16237267.535609;7531223.099152;57949608.280172;0.000000;27119823.081182;30829785.198990;163436197.829865
0;0.546467;23438990.572341;0.000000;15572437.712180;7866552.860161;58748875.130832;0.000000;26473144.110706;32275731.020126;164375731.406347
0;0.556587;23721913.047517;0.000000;17709389.536909;6012523.510608;58366680.340875;0.000000;27158525.352756;31208154.988119;164177186.776783
0;0.566706;23662128.540743;0.000000;16059093.508059;7603035.032684;63772774.335121;0.000000;30183430.946825;33589343.388296;174869805.751727
0;0.576826;23802703.991196;0.000000;17917011.974652;5885692.016544;58504149.981481;0.000000;27175682.065872;31328467.915610;164613707.945355
0;0.586946;23475905.956675;0.000000;17177793.364406;6298112.592270;58381033.882264;0.000000;27125106.488079;31255927.394185;163713879.677878
